FIPS,State,County,Population,% Diabetic,# Primary Care Physicians,% Uninsured,Food Environment Index,% Obese,% Food Insecure,% Limited Access,Household Income,Graduation Rate,% Unemployed,Preventable Hosp. Rate
51185,Virginia,Tazewell,41095,13,25,11.70864321,7.7,31.5,12.7,8.370637956,38855,89.5,5.918315896,6338
51187,Virginia,Warren,39563,13.9,21,10.29294601,9,27.7,8.2,3.12238394,63785,93.9,3.708880347,5279
51191,Virginia,Washington,54387,13.3,37,10.57548037,8.7,30,9.7,3.395491533,49866,93.5,4.102869035,6310
51193,Virginia,Westmoreland,17780,13.8,2,13.22951315,8.5,33.8,11.2,2.059014928,50046,93.90555556,4.697912039,5089
51195,Virginia,Wise,38586,14,22,11.88970318,7.7,31.6,14.9,3.687205507,37460,96,6.776528569,6438
51197,Virginia,Wythe,28882,12.6,14,11.38292779,8.5,32.9,11.5,1.735097574,46795,91.2,5.210318042,5329
51199,Virginia,York,67739,9.7,82,7.013118946,8.9,29,7.8,4.275954068,85292,95.2,3.56233316,3630
51510,Virginia,Alexandria City,160035,7.1,105,11.59941162,,22.3,10,,99959,83.1,2.869459377,5185
51520,Virginia,Bristol City,16790,11.5,9,10.07605994,6.8,28.6,14.1,15.10425175,38232,83.7,4.564315353,6569
51530,Virginia,Buena Vista City,6327,10.1,2,9.63880289,3.2,26.2,15.2,52.66665429,42924,90.2,4.372738239,3958
51540,Virginia,Charlottesville City,48019,8.2,136,11.7529141,7.4,27.6,16.7,3.237638231,54034,89.6,3.094921355,3251
51550,Virginia,Chesapeake City,240397,11.4,191,8.790728724,8.2,33.6,11.4,4.917224822,75529,92.7,3.866964383,4757
51570,Virginia,Colonial Heights City,17830,11.3,24,10.28868032,8.4,28.2,11.5,2.96470537,53769,96,4.079557012,4894
51580,Virginia,Covington City,5531,11.4,3,9.946548919,7.3,28.1,14.3,9.80082193,38000,85.9,6.263135771,5591
51590,Virginia,Danville City,41130,13.3,41,10.75913777,6.5,32.7,20.4,5.795227313,33626,77.2,6.013584117,5382
51595,Virginia,Emporia City,5282,13.7,,11.93181818,5.9,30,26.6,0.595535029,35770,,5.487269535,6384
51600,Virginia,Fairfax City,24097,9.3,2,9.360023962,10,23,4.2,0.156650537,99662,,2.920534299,3285
51610,Virginia,Falls Church City,14583,10.2,45,3.735909823,,28.3,5,,123923,99.5,2.683823529,2954
51620,Virginia,Franklin City,8176,14.2,11,10.28502488,4.4,36.7,20.8,28.40450238,37117,86.7,5.539609644,5577
51630,Virginia,Fredericksburg City,28360,9.2,37,11.22229537,7.8,30.3,15.4,1.959147689,56580,82.7,4.347826087,5657
51640,Virginia,Galax City,6625,11,,15.75238095,8.3,28.1,12.7,1.188373199,33391,89.1,4.515456756,4563
51650,Virginia,Hampton City,134669,13.2,58,9.099937703,6.6,37.5,17.8,10.31401446,52894,91.5,5.085976486,4230
51660,Virginia,Harrisonburg City,54215,7.7,75,14.31481931,7.7,25.4,16.1,1.10656151,44688,87.4,4.466794251,3883
51670,Virginia,Hopewell City,22621,13.3,10,11.65433404,6.2,29.1,18.6,12.89596088,40209,85.2,6.092035042,6556
51678,Virginia,Lexington City,7106,8.9,,10.27027027,8.1,26.7,14.1,1.181341348,47749,,5.651214128,3153
51680,Virginia,Lynchburg City,80995,10.2,97,10.78658234,6.6,28.8,18.2,8.648660328,44122,86.4,4.96091569,4511
51683,Virginia,Manassas City,41501,9,45,15.04873815,9.8,31.3,4.6,0.966725207,75621,78.6,3.396671353,3715
51685,Virginia,Manassas Park City,16591,9.6,,15.89157953,9.1,32.9,3.7,10.97760716,80482,90.6,3.354928274,
51690,Virginia,Martinsville City,13142,13.9,1,10.62675579,6,32.6,20.9,10.12269447,34463,86.7,6.800382044,7107
51700,Virginia,Newport News City,179388,12.2,102,11.23736452,7.1,32.2,16.7,6.322679907,49635,93.5,4.652840997,4524
51710,Virginia,Norfolk City,244703,9.7,237,11.81340525,6.5,32.3,19,8.279660117,48218,81.3,4.652682656,5709
51720,Virginia,Norton City,3936,9.9,11,10.10322177,7.3,28.9,17.6,2.189783424,33442,95.7,5.528255528,5625
51730,Virginia,Petersburg City,31750,14.7,24,12.01652703,3.9,43.2,27.5,20.53627139,36038,80.4,7.302867384,7567
